Plate;Date;Well;Sample;Clon;Replicate;Plasmid;Treatment;Strain
PR1;20231107;A2;N23;1;1;none;-;N23
PR1;20231107;A3;N23;1;1;delta_blaOXA;-;N23
PR1;20231107;A4;K219;1;1;pOXA-48;-;K219
PR1;20231107;A5;K219;1;1;none;-;K219
PR1;20231107;A6;K219;1;1;delta_blaOXA;-;K219
PR1;20231107;A7;-;-;-;-;-;-
PR1;20231107;A8;-;-;-;-;-;-
PR1;20231107;A9;-;-;-;-;-;-
PR1;20231107;A10;-;-;-;-;-;-
PR1;20231107;A11;-;-;-;-;-;-
PR1;20231107;A12;-;-;-;-;-;-
PR1;20231107;B1;N23;1;2;pOXA-48;-;N23
PR1;20231107;B2;N23;1;2;none;-;N23
PR1;20231107;B3;N23;1;2;delta_blaOXA;-;N23
PR1;20231107;B4;K219;1;2;pOXA-48;-;K219
PR1;20231107;B5;K219;1;2;none;-;K219
PR1;20231107;B6;K219;1;2;delta_blaOXA;-;K219
PR1;20231107;B7;-;-;-;-;-;-
PR1;20231107;B8;-;-;-;-;-;-
PR1;20231107;B9;-;-;-;-;-;-
PR1;20231107;B10;-;-;-;-;-;-
PR1;20231107;B11;-;-;-;-;-;-
PR1;20231107;B12;-;-;-;-;-;-
PR1;20231107;C1;N23;1;3;pOXA-48;-;N23
PR1;20231107;C2;N23;1;3;none;-;N23
PR1;20231107;C3;N23;1;3;delta_blaOXA;-;N23
PR1;20231107;C4;K219;1;3;pOXA-48;-;K219
PR1;20231107;C5;K219;1;3;none;-;K219
PR1;20231107;C6;K219;1;3;delta_blaOXA;-;K219
PR1;20231107;C7;-;-;-;-;-;-
PR1;20231107;C8;-;-;-;-;-;-
PR1;20231107;C9;-;-;-;-;-;-
PR1;20231107;C10;-;-;-;-;-;-
PR1;20231107;C11;-;-;-;-;-;-
PR1;20231107;C12;-;-;-;-;-;-
PR1;20231107;D1;N23;1;4;pOXA-48;-;N23
PR1;20231107;D2;N23;1;4;none;-;N23
PR1;20231107;D3;N23;1;4;delta_blaOXA;-;N23
PR1;20231107;D4;K219;1;4;pOXA-48;-;K219
PR1;20231107;D5;K219;1;4;none;-;K219
PR1;20231107;D6;K219;1;4;delta_blaOXA;-;K219
PR1;20231107;D7;-;-;-;-;-;-
PR1;20231107;D8;-;-;-;-;-;-
PR1;20231107;D9;-;-;-;-;-;-
PR1;20231107;D10;-;-;-;-;-;-
PR1;20231107;D11;-;-;-;-;-;-
PR1;20231107;D12;-;-;-;-;-;-
PR1;20231107;E1;N23;1;5;pOXA-48;-;N23
PR1;20231107;E2;N23;1;5;none;-;N23
PR1;20231107;E3;N23;2;1;delta_blaOXA;-;N23
PR1;20231107;E4;K219;1;5;pOXA-48;-;K219
PR1;20231107;E5;K219;1;5;none;-;K219
PR1;20231107;E6;K219;1;5;delta_blaOXA;-;K219
PR1;20231107;E7;-;-;-;-;-;-
PR1;20231107;E8;-;-;-;-;-;-
PR1;20231107;E9;-;-;-;-;-;-
PR1;20231107;E10;-;-;-;-;-;-
PR1;20231107;E11;-;-;-;-;-;-
PR1;20231107;E12;-;-;-;-;-;-
PR1;20231107;F1;N23;1;6;pOXA-48;-;N23
PR1;20231107;F2;N23;1;6;none;-;N23
PR1;20231107;F3;N23;2;2;delta_blaOXA;-;N23
PR1;20231107;F4;K219;1;6;pOXA-48;-;K219
PR1;20231107;F5;K219;1;6;none;-;K219
PR1;20231107;F6;K219;1;6;delta_blaOXA;-;K219
PR1;20231107;F7;-;-;-;-;-;-
PR1;20231107;F8;-;-;-;-;-;-
PR1;20231107;F9;-;-;-;-;-;-
PR1;20231107;F10;-;-;-;-;-;-
PR1;20231107;F11;-;-;-;-;-;-
PR1;20231107;F12;-;-;-;-;-;-
PR1;20231107;G1;N23;1;7;pOXA-48;-;N23
PR1;20231107;G2;N23;1;7;none;-;N23
PR1;20231107;G3;N23;2;3;delta_blaOXA;-;N23
PR1;20231107;G4;K219;1;7;pOXA-48;-;K219
PR1;20231107;G5;K219;1;7;none;-;K219
PR1;20231107;G6;K219;1;7;delta_blaOXA;-;K219
PR1;20231107;G7;-;-;-;-;-;-
PR1;20231107;G8;-;-;-;-;-;-
PR1;20231107;G9;-;-;-;-;-;-
PR1;20231107;G10;-;-;-;-;-;-
PR1;20231107;G11;-;-;-;-;-;-
PR1;20231107;G12;-;-;-;-;-;-
PR1;20231107;H1;N23;1;8;pOXA-48;-;N23
PR1;20231107;H2;N23;1;8;none;-;N23
PR1;20231107;H3;N23;2;4;delta_blaOXA;-;N23
PR1;20231107;H4;K219;1;8;pOXA-48;-;K219
PR1;20231107;H5;K219;1;8;none;-;K219
PR1;20231107;H6;K219;1;8;delta_blaOXA;-;K219
PR1;20231107;H7;-;-;-;-;-;-
PR1;20231107;H8;-;-;-;-;-;-
PR1;20231107;H9;-;-;-;-;-;-
PR1;20231107;H10;-;-;-;-;-;-
PR1;20231107;H11;-;-;-;-;-;-
PR1;20231107;H12;-;-;-;-;-;-
