id,Plate,Date,Time,Well,OD,Sample,Clon,Replicate,Plasmid,Treatment,Strain
PR1_20231025.txt,PR1,20231025,0,A1,0.093,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,10,A1,0.093,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,20,A1,0.093,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,30,A1,0.093,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,40,A1,0.094,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,50,A1,0.096,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,60,A1,0.098,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,70,A1,0.101,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,80,A1,0.106,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,90,A1,0.113,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,100,A1,0.121,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,110,A1,0.134,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,120,A1,0.147,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,130,A1,0.163,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,140,A1,0.182,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,150,A1,0.203,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,160,A1,0.229,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,170,A1,0.261,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,180,A1,0.293,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,190,A1,0.321,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,200,A1,0.346,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,210,A1,0.368,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,220,A1,0.388,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,230,A1,0.406,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,240,A1,0.422,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,250,A1,0.433,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,260,A1,0.443,AJN46,1,1,pOXA-48,-,AJN46
PR1_20231025.txt,PR1,20231025,270,A1,0.447,AJN46,1,1,pOXA-48,-,AJN46
